fecha,producto_id,producto,unidades,precio_unitario,subtotal,descuento,total
2026-08-19 15:58:40,P004,Aceite,11,2.5,27.5,1.375,26.125
2026-08-19 15:58:40,P005,Pan,8,0.5,4.0,0,4.0
2026-08-19 15:58:40,P003,Leche,10,0.95,9.5,0.47500000000000003,9.025
2026-08-19 15:58:40,P005,Pan,12,0.5,6.0,0.30000000000000004,5.7
2026-08-19 15:58:40,P001,Arroz,4,1.25,5.0,0,5.0
2026-08-19 15:58:40,P002,Azúcar,3,1.1,3.3000000000000003,0,3.3000000000000003
2026-08-19 15:58:40,P001,Arroz,10,1.25,12.5,0.625,11.875
2026-08-19 15:58:40,P004,Aceite,2,2.5,5.0,0,5.0
2026-08-19 15:58:40,P002,Azúcar,5,1.1,5.5,0,5.5
2026-08-19 15:58:48,P001,Arroz,5,1.25,6.25,0,6.25
2026-08-19 15:58:48,P002,Azúcar,4,1.1,4.4,0,4.4
2026-08-19 15:58:48,P001,Arroz,7,1.25,8.75,0,8.75
2026-08-19 15:58:48,P005,Pan,8,0.5,4.0,0,4.0
2026-08-19 15:58:48,P005,Pan,5,0.5,2.5,0,2.5
2026-08-19 16:05:37,P003,Leche,9,0.95,8.549999999999999,0,8.549999999999999
2026-08-19 16:05:37,P002,Azúcar,13,1.1,14.3,0.7150000000000001,13.585
2026-08-19 16:05:37,P004,Aceite,2,2.5,5.0,0,5.0
2026-08-19 16:05:37,P001,Arroz,6,1.25,7.5,0,7.5
2026-08-19 16:05:37,P003,Leche,10,0.95,9.5,0.47500000000000003,9.025
2026-08-19 16:05:37,P005,Pan,3,0.5,1.5,0,1.5
2026-08-19 16:05:37,P004,Aceite,9,2.5,22.5,0,22.5
2026-08-19 16:05:37,P001,Arroz,2,1.25,2.5,0,2.5
2026-08-19 16:05:40,P002,Azúcar,10,1.1,11.0,0.55,10.45
2026-08-19 16:05:40,P005,Pan,15,0.5,7.5,0.375,7.125
2026-08-19 16:05:40,P001,Arroz,4,1.25,5.0,0,5.0
2026-08-19 16:05:40,P005,Pan,8,0.5,4.0,0,4.0
2026-08-19 16:05:40,P005,Pan,8,0.5,4.0,0,4.0
2026-08-19 16:16:27,P002,Azúcar,4,1.1,4.4,0,4.4
2026-08-19 16:16:27,P001,Arroz,12,1.25,15.0,0.75,14.25
2026-08-19 16:16:27,P002,Azúcar,5,1.1,5.5,0,5.5
2026-08-19 16:16:27,P005,Pan,8,0.5,4.0,0,4.0
2026-08-19 16:16:27,P003,Leche,13,0.95,12.35,0.6175,11.7325
2026-08-19 16:16:27,P002,Azúcar,10,1.1,11.0,0.55,10.45
2026-08-19 16:16:27,P005,Pan,11,0.5,5.5,0.275,5.225
2026-08-19 16:16:27,P002,Azúcar,3,1.1,3.3000000000000003,0,3.3000000000000003
2026-08-19 16:16:27,P004,Aceite,13,2.5,32.5,1.625,30.875
2026-08-19 16:17:54,P009,Brownie,1,1.0,1.0,0,1.0
2026-08-19 16:17:54,P001,Arroz,3,1.25,3.75,0,3.75
2026-08-19 16:17:54,P003,Leche,3,0.95,2.8499999999999996,0,2.8499999999999996
2026-08-19 16:17:54,P001,Arroz,3,1.25,3.75,0,3.75
2026-08-19 16:17:54,P005,Pan,14,0.5,7.0,0.35000000000000003,6.65
2026-08-19 16:17:54,P009,Brownie,6,1.0,6.0,0,6.0
